Exercise_Name,BodyPart,Target_Muscle,Equipment,Level,Goal,Image_URL,Instructions
Mountain Climbers Var-0,abs,core,body weight,Beginner,Fitness,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Mountain Climbers variation number 0. Ensure proper form and controlled breathing.
Squat Var-1,legs,quads,barbell,Intermediate,Muscle Gain,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Squat variation number 1. Ensure proper form and controlled breathing.
Mountain Climbers Var-2,abs,core,body weight,Intermediate,Fitness,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Mountain Climbers variation number 2. Ensure proper form and controlled breathing.
Lunges Var-3,legs,glutes,body weight,Beginner,Body Building,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Lunges variation number 3. Ensure proper form and controlled breathing.
Plank Var-4,abs,core,body weight,Beginner,Muscle Gain,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Plank variation number 4. Ensure proper form and controlled breathing.
Pull Up Var-5,back,lats,body weight,Beginner,Muscle Gain,https://images.unsplash.com/photo-1605296867304-46d5465a13f1?auto=format&fit=crop&q=80&w=600,Perform Pull Up variation number 5. Ensure proper form and controlled breathing.
Push Up Var-6,chest,pecs,body weight,Beginner,Muscle Gain,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Push Up variation number 6. Ensure proper form and controlled breathing.
Deadlift Var-7,back,hamstrings,barbell,Intermediate,Body Building,https://images.unsplash.com/photo-1605296867304-46d5465a13f1?auto=format&fit=crop&q=80&w=600,Perform Deadlift variation number 7. Ensure proper form and controlled breathing.
Lunges Var-8,legs,glutes,body weight,Advanced,Muscle Gain,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Lunges variation number 8. Ensure proper form and controlled breathing.
Lunges Var-9,legs,glutes,body weight,Intermediate,Fitness,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Lunges variation number 9. Ensure proper form and controlled breathing.
Shoulder Press Var-10,shoulders,delts,dumbbell,Intermediate,Fitness,https://images.unsplash.com/photo-1541534741688-6078c64b52d2?auto=format&fit=crop&q=80&w=600,Perform Shoulder Press variation number 10. Ensure proper form and controlled breathing.
Squat Var-11,legs,quads,barbell,Intermediate,Weight Loss,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Squat variation number 11. Ensure proper form and controlled breathing.
Bicep Curl Var-12,arms,biceps,dumbbell,Intermediate,Muscle Gain,https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?auto=format&fit=crop&q=80&w=600,Perform Bicep Curl variation number 12. Ensure proper form and controlled breathing.
Pull Up Var-13,back,lats,body weight,Beginner,Fitness,https://images.unsplash.com/photo-1605296867304-46d5465a13f1?auto=format&fit=crop&q=80&w=600,Perform Pull Up variation number 13. Ensure proper form and controlled breathing.
Pull Up Var-14,back,lats,body weight,Beginner,Body Building,https://images.unsplash.com/photo-1605296867304-46d5465a13f1?auto=format&fit=crop&q=80&w=600,Perform Pull Up variation number 14. Ensure proper form and controlled breathing.
Burpees Var-15,full body,cardio,body weight,Advanced,Weight Loss,https://images.unsplash.com/photo-1599058917212-d750089bc07e?auto=format&fit=crop&q=80&w=600,Perform Burpees variation number 15. Ensure proper form and controlled breathing.
Push Up Var-16,chest,pecs,body weight,Intermediate,Body Building,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Push Up variation number 16. Ensure proper form and controlled breathing.
Squat Var-17,legs,quads,barbell,Intermediate,Weight Loss,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Squat variation number 17. Ensure proper form and controlled breathing.
Bicep Curl Var-18,arms,biceps,dumbbell,Intermediate,Body Building,https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?auto=format&fit=crop&q=80&w=600,Perform Bicep Curl variation number 18. Ensure proper form and controlled breathing.
Push Up Var-19,chest,pecs,body weight,Intermediate,Muscle Gain,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Push Up variation number 19. Ensure proper form and controlled breathing.
Pull Up Var-20,back,lats,body weight,Advanced,Fitness,https://images.unsplash.com/photo-1605296867304-46d5465a13f1?auto=format&fit=crop&q=80&w=600,Perform Pull Up variation number 20. Ensure proper form and controlled breathing.
Squat Var-21,legs,quads,barbell,Advanced,Body Building,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Squat variation number 21. Ensure proper form and controlled breathing.
Lunges Var-22,legs,glutes,body weight,Intermediate,Body Building,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Lunges variation number 22. Ensure proper form and controlled breathing.
Push Up Var-23,chest,pecs,body weight,Advanced,Body Building,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Push Up variation number 23. Ensure proper form and controlled breathing.
Lunges Var-24,legs,glutes,body weight,Intermediate,Fitness,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Lunges variation number 24. Ensure proper form and controlled breathing.
Mountain Climbers Var-25,abs,core,body weight,Intermediate,Muscle Gain,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Mountain Climbers variation number 25. Ensure proper form and controlled breathing.
Push Up Var-26,chest,pecs,body weight,Beginner,Fitness,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?auto=format&fit=crop&q=80&w=600,Perform Push Up variation number 26. Ensure proper form and controlled breathing.
Shoulder Press Var-27,shoulders,delts,dumbbell,Beginner,Weight Loss,https://images.unsplash.com/photo-1541534741688-6078c64b52d2?auto=format&fit=crop&q=80&w=600,Perform Shoulder Press variation number 27. Ensure proper form and controlled breathing.
Lunges Var-28,legs,glutes,body weight,Advanced,Weight Loss,https://images.unsplash.com/photo-1574680096145-d05b474e2158?auto=format&fit=crop&q=80&w=600,Perform Lunges variation number 28. Ensure proper form and controlled breathing.
